type,name,camo,mag_type,optics_rail,rareness,allows_muzzle_dev,frontrail_devices,has_side_rail,has_int_toprail,balanced,high_rof,silenced,hi_cap_mag,powerful_cartridge,raw_score,is_starting
Rifle,rhs_weap_pm63,nocamo,AK,None,0,1,4,0,0,0,0,0,0,0,,
Rifle,rhs_weap_akms,nocamo,AK,None,0,1,0,0,0,0,0,0,0,0,,1
Carbine,rhs_weap_MP44,nocamo,MP44,None,0,0,0,0,0,0,0,0,0,0,,1
Rifle,rhs_weap_akmn,nocamo,AK,Dovetail,0,1,0,0,0,0,0,0,0,0,,1
RifleGL,rhs_weap_akmn_gp25,nocamo,AK,Dovetail,0,1,0,0,0,0,0,0,0,0,,1
RifleGL,rhs_weap_akmn_gp25_npz,nocamo,AK,RIS,0,1,0,0,0,0,0,0,0,0,,
RifleGL,rhs_weap_akms_gp25,nocamo,AK,Dovetail,0,1,0,0,0,0,0,0,0,0,,
Rifle,rhs_weap_aks74,nocamo,AK74,None,0,1,0,0,0,0,0,0,0,0,,
RifleGL,rhs_weap_aks74_gp25,nocamo,AK74,None,0,1,0,0,0,0,0,0,0,0,,
Rifle,rhs_weap_aks74n,nocamo,AK74,Dovetail,0,1,0,0,0,0,0,0,0,0,,
RifleGL,rhs_weap_aks74n_gp25,nocamo,AK74,Dovetail,0,1,0,0,0,0,0,0,0,0,,
Carbine,rhs_weap_aks74u,nocamo,AK74,None,0,1,0,0,0,0,0,0,0,0,,
Rifle,rhs_weap_m70ab2,nocamo,AK,None,0,1,0,0,0,0,0,0,0,0,,1
Rifle,rhs_weap_m70b1n,nocamo,AK,Dovetail,0,1,0,0,0,0,0,0,0,0,,0
Rifle,rhs_weap_m70b3n,nocamo,AK,Dovetail,0,1,0,0,0,0,0,0,0,0,,
RifleGL,rhs_weap_m70b3n_pbg40,nocamo,AK,Dovetail,0,1,0,0,0,0,0,0,0,0,,
Rifle,CUP_arifle_TYPE_56_2_Early,nocamo,AK,None,0,1,0,0,0,0,0,0,0,0,,1
Rifle,CUP_arifle_TYPE_56_2,nocamo,AK,Dovetail,0,1,0,0,0,0,0,0,0,0,,
Rifle,CUP_arifle_TYPE_56_2_top_rail,nocamo,AK,RIS,0,1,0,0,0,0,0,0,0,0,,
Rifle,rhs_weap_savz58p,nocamo,SA58,None,0,0,0,0,0,0,1,0,0,0,,1
Rifle,rhs_weap_savz58p_black,black,SA58,None,0,0,0,0,0,0,1,0,0,0,,1
Rifle,rhs_weap_savz58p_rail,nocamo,SA58,RIS,0,0,0,0,1,0,1,0,0,0,,
Rifle,rhs_weap_savz58p_rail_black,black,SA58,RIS,0,0,0,0,1,0,1,0,0,0,,
Carbine,rhs_weap_savz58v,nocamo,SA58,None,0,0,0,0,0,0,1,0,0,0,,1
Carbine,rhs_weap_savz58v_black,black,SA58,None,0,0,0,0,0,0,1,0,0,0,,1
Carbine,rhs_weap_savz58v_rail,nocamo,SA58,RIS,0,0,0,0,1,0,1,0,0,0,,
Carbine,CUP_arifle_Sa58RIS1,nocamo,SA58,RIS,0,1,5,1,0,0,1,0,0,0,,
CarbineGL,CUP_arifle_Sa58RIS2_gl,nocamo,SA58,RIS,0,1,0,1,1,0,1,0,0,0,,
CarbineGL,CUP_arifle_Sa58RIS2_gl_desert,desert,SA58,RIS,0,1,0,1,0,0,1,0,0,0,,
CarbineGL,CUP_arifle_Sa58RIS2_gl_woodland,woodland,SA58,RIS,0,1,0,1,0,0,1,0,0,0,,
Sniper,rhs_weap_m38_rail,nocamo,Mosin,RIS,0,0,0,0,1,0,0,0,0,0,,0
Rifle,rhs_weap_kar98k,nocamo,KAR98,None,0,0,0,0,0,0,0,0,0,0,,1
Rifle,rhs_weap_m1garand_sa43,nocamo,Garand,None,0,0,0,0,0,0,0,0,0,0,,1
Sniper,CUP_srifle_LeeEnfield_rail,nocamo,LEE,RIS,0,0,0,0,1,0,0,0,0,0,,0
Marksman,rhs_weap_m76,nocamo,M76,Dovetail,0,1,0,0,0,0,0,0,0,0,,1
Carbine,rhs_weap_m92,nocamo,AK,None,0,1,0,0,0,0,0,0,0,0,,1
MG,rhs_weap_mg42,nocamo,MG42,None,0,0,2,0,0,0,1,0,0,0,,
MG,rhs_weap_fnmag,nocamo,M240,RIS,0,1,2,0,1,0,0,0,1,0,,
MG,rhs_weap_m84,nocamo,PK,None,0,0,2,0,0,0,0,0,1,0,,
MG,rhs_weap_pkm,nocamo,PK,None,0,0,2,0,0,0,0,0,0,0,,1
MG,CUP_lmg_PKMN,nocamo,PK,Dovetail,0,1,2,0,0,0,0,0,0,0,,
LMG,hlc_rifle_rpk,nocamo,AK,Dovetail,0,1,2,0,0,0,0,0,0,0,,0
LMG,hlc_rifle_rpk74n,nocamo,AK74,Dovetail,0,1,2,0,0,0,0,0,0,0,,
Marksman,hlc_rifle_M14_Bipod,nocamo,M14,M14,0,1,2,0,0,0,0,0,0,0,,1
Marksman,hlc_rifle_M14_Bipod_Rail,nocamo,M14,RIS,0,1,2,0,0,0,0,0,0,0,,
Marksman,hlc_rifle_M21_Rail,nocamo,M14,RIS,0,1,2,0,0,0,0,0,0,0,,
Marksman,hlc_rifle_M14dmr_Rail,nocamo,M14,RIS,1,1,2,0,0,0,0,0,0,0,,
Rifle,hlc_wp_m16A1,nocamo,AR15,RIS,0,1,0,0,0,0,0,0,0,0,,
RifleGL,hlc_rifle_A1m203,nocamo,AR15,RIS,0,1,0,0,0,0,0,0,0,0,,
Rifle,hlc_wp_m16a2,nocamo,AR15,RIS,0,1,0,0,0,0,0,0,0,0,,
RifleGL,hlc_rifle_m203,nocamo,AR15,RIS,0,1,0,0,0,0,0,0,0,0,,
Rifle,CUP_arifle_Galil_556_black,nocamo,GALIL556,RIS,0,0,2,0,0,0,0,0,0,0,,
Rifle,CUP_arifle_Galil_black,nocamo,GALIL762,RIS,0,0,2,0,0,0,0,0,0,0,,1
Carbine,CUP_arifle_Galil_SAR_black,nocamo,GALIL556,RIS,1,0,0,0,0,0,0,0,0,0,,
